,Index,Organism,Species,Type (Viral),Enveloped (Viral),Strain,Medium,Medium (specific),wavelength [nm],Light source,k1 [cm2/mJ],k2 [cm2/mJ],% resistant,Log-reduction dose [mJ/cm2],,k1 error,k2 error,Ref,Full Citation
,1,Bacteria,Acinetobacter radioresistens,,,50v1,Surface,aluminum,222,,0.14,,,16.43,,,,42,"Seuylemezian A, Buonanno M, Guan L, Brenner DJ, Welch D. Far-UVC light as a new tool to reduce microbial burden during spacecraft assembly. Adv SpaceRes. 2020.DOI:10.1016/j.asr.2020.08.037"
,2,Bacteria,Arthrobacter nicotinovorans,,,DSM420,Liquid,-,222,,0.38,,,6.03,,,,33,"Clauss M, Springorum AC, Hartung J. Ultraviolet disinfection with 222 nm wavelength– New options to inactivate UV-resistant pathogens. In: Briese A, Clau ßM, Hartung J, Springorum AC, Hrsg. Proceedingsof the 14th ISAH Congress 2009 – International Society for Animal Hygiene, 19th to 23rd July, Vechta, Germany, Vol. 2. Brno: Tribun EU; 2009.pp. 740-2"
,3,Bacteria,Arthrobacter nicotinovorans,,,ATCC49919,Liquid,-,222,,0.39,,,5.9,,,,43,"Clauss M. Higher effectiveness of photoinactivation of bacterial spores, UV resistant vegetative bacteria and mold spores with 222 nm compared to 254 nm wavelength. Acta Hydrochim Hydrobiol. 2006;34:525-32.DOI: 10.1002/aheh.20060065"
,4,Bacteria,Arthrobacter nicotinovorans,,,DSM420,Liquid,-,254,,0.57,,,4.07,,,,33,"Clauss M, Springorum AC, Hartung J. Ultraviolet disinfection with 222 nm wavelength– New options to inactivate UV-resistant pathogens. In: Briese A, Clau ßM, Hartung J, Springorum AC, Hrsg. Proceedingsof the 14th ISAH Congress 2009 – International Society for Animal Hygiene, 19th to 23rd July, Vechta, Germany, Vol. 2. Brno: Tribun EU; 2009.pp. 740-2"
,5,Bacteria,Arthrobacter nicotinovorans,,,ATCC49919,Liquid,-,254,,0.58,,,4,,,,43,"Clauss M. Higher effectiveness of photoinactivation of bacterial spores, UV resistant vegetative bacteria and mold spores with 222 nm compared to 254 nm wavelength. Acta Hydrochim Hydrobiol. 2006;34:525-32.DOI: 10.1002/aheh.20060065"
,6,Bacteria,Bacillus cereus,,,DSM345,Liquid,-,222,,0.49,,,4.67,,,,33,"Clauss M, Springorum AC, Hartung J. Ultraviolet disinfection with 222 nm wavelength– New options to inactivate UV-resistant pathogens. In: Briese A, Clau ßM, Hartung J, Springorum AC, Hrsg. Proceedingsof the 14th ISAH Congress 2009 – International Society for Animal Hygiene, 19th to 23rd July, Vechta, Germany, Vol. 2. Brno: Tribun EU; 2009.pp. 740-2"
,7,Bacteria,Bacillus cereus,,,-,Liquid,PBS,222,,0.35,,,6.67,,,,44,"Narita K, Asano K, Naito K, Ohashi H, Sasaki M, Morimoto Y, Igarashi T, Nakane A. 222-nm UVC inactivates a wide spectrum of microbial pathogens. J Hosp Infect. 2020 Mar. DOI:10.1016/j.jhin.2020.03.03"
,8,Bacteria,Bacillus cereus,,,ATCC11778,Liquid,-,222,,0.50,,,4.57,,,,43,"Clauss M. Higher effectiveness of photoinactivation of bacterial spores, UV resistant vegetative bacteria and mold spores with 222 nm compared to 254 nm wavelength. Acta Hydrochim Hydrobiol. 2006;34:525-32.DOI: 10.1002/aheh.20060065"
,9,Bacteria,Bacillus cereus,,,ATCC11778,Liquid,-,254,,0.81,,,2.83,,,,43,"Clauss M. Higher effectiveness of photoinactivation of bacterial spores, UV resistant vegetative bacteria and mold spores with 222 nm compared to 254 nm wavelength. Acta Hydrochim Hydrobiol. 2006;34:525-32.DOI: 10.1002/aheh.20060065"
,10,Bacteria,Bacillis subtilis,,,DSM10,Liquid,-,222,,1.04,,,2.21,,,,33,"Clauss M, Springorum AC, Hartung J. Ultraviolet disinfection with 222 nm wavelength– New options to inactivate UV-resistant pathogens. In: Briese A, Clau ßM, Hartung J, Springorum AC, Hrsg. Proceedingsof the 14th ISAH Congress 2009 – International Society for Animal Hygiene, 19th to 23rd July, Vechta, Germany, Vol. 2. Brno: Tribun EU; 2009.pp. 740-2"
